config_name,lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std,total_impressions_new_mean,total_impressions_new_std,unique_shown_new_mean,unique_shown_new_std
Baseline,0.0,0.5,2,50,0.1855695254000392,0.012372695459267495,0.5805609326307971,0.038505433167969755,1558.2986031838439,34.414344261927475,0.19202,0.010740884507339232,1920.2,107.40884507339234,122.85,5.614935440412472
B,0.2,0.5,2,50,0.18305100915497735,0.012756416681687357,0.6759635286613476,0.04564882583016019,1498.3670048242027,30.692341207549752,0.248075,0.010028552986348518,2480.75,100.2855298634853,152.85,3.785168424258028
C,0.3,0.65,1,50,0.18064654149951023,0.0126493985114935,0.7439498173020229,0.040619725638435876,1427.3138588884915,30.83008136285283,0.282815,0.010273182320975332,2828.15,102.73182320975326,170.85,3.305676935213119
