penalty,strategy_name,lambda,eta,m,top_L,alpha,epsilon,inject_prob,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,unique_shown_new_mean,unique_shown_new_std,avg_new_fraction_mean,avg_new_fraction_std,ttf_mean_mean,ttf_mean_std,entropy_stability_mean_mean,entropy_stability_mean_std,entropy_stability_median_mean,entropy_stability_median_std,delta_cov,delta_unique,delta_ttf,delta_ndcg
0.2,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18272572662095155,0.012074013022362733,0.7257143232755803,0.03374236526158042,174.25,3.766629793329841,0.18041000000000001,0.005446916558934967,1458.3195847221116,31.249223937299057,0.012203426018004967,0.00010022730430611508,0.011548923740358036,0.00013582938388703443,0.6836260205919537,165.55,512.3718331294397,0.0007309832245268599
0.2,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.18271714249071447,0.01209808741561468,0.713367058352314,0.03770955037011897,174.85,3.4967842369811724,0.18061500000000003,0.005909507170653068,1462.2990977041943,34.62559915361859,0.014001180592307077,0.000138833676959739,0.012718516760876371,0.0004607126426975075,0.6712787556686873,166.15,508.39232014735694,0.0007223990942897829
0.2,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18176850048479806,0.011831639876655193,0.04640533892186634,0.020383640274138144,9.2,3.7894590642992836,0.009184999999999999,0.0041918104680436115,1967.3656697641297,16.358511910430426,,,,,0.00431703623823973,0.5,3.325748087421516,-0.0002262429116266229
0.2,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.1747039865773151,0.01145778283944825,0.0712225065989955,0.018927210845222336,32.1,5.673623181001713,0.010499999999999999,0.0038047338934543116,1956.3082128930441,12.947923756369146,,,,,0.02913420391536889,23.400000000000002,14.383204958507122,-0.007290756819109595
0.25,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.1813218592399014,0.01186527051638561,0.01936673248883799,0.009636037873790828,3.5,1.5329709716755893,0.00352,0.0015648003067484362,1986.734789573168,8.935473449028413,,,,,0.0,0.0,0.0,0.0
0.25,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18266573826093999,0.01202013534293458,0.6698971800185127,0.041302145030160886,168.95,4.212778180725873,0.13533,0.005467001006036127,1508.8663615258738,44.18327703103786,0.01200871864135443,9.282670482783979e-05,0.011385978885049459,0.00011365271275048967,0.6505304475296747,165.45,477.8684280472942,0.0013438790210385798
0.25,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.182661726279238,0.012117521467055904,0.6685035236588264,0.04538454923947693,169.85,4.089926649709014,0.135465,0.0056339395630411225,1504.5676463822365,39.879438789454504,0.013749004376198118,0.00011033516497019665,0.012200613525458376,0.00020486477129789873,0.6491367911699883,166.35,482.1671431909315,0.0013398670393365841
0.25,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18110787040771564,0.011925893779984202,0.018901778939414915,0.01020471991229015,4.0,1.9235384061671346,0.0035499999999999998,0.0015869782607206692,1987.1831761346064,7.859460073887385,,,,,-0.0004649535494230736,0.5,-0.44838656143838307,-0.00021398883218576303
0.25,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.1741935469541775,0.011547736290184404,0.031901205949073294,0.012324522253483754,14.55,4.306680856529771,0.004335,0.0015957051732697993,1980.4293391421675,8.585566779789831,,,,,0.012534473460235306,11.05,6.305450431000509,-0.0071283122857239145
0.3,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18099628998905787,0.011960492564538943,0.005450073828111198,0.00495696009496583,1.15,0.9630680142129112,0.001115,0.0009106453755441797,1996.1259537019928,4.322955623078587,,,,,0.0,0.0,0.0,0.0
0.3,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18258910678152246,0.011994009666402239,0.5717207258943211,0.0440223883549727,142.8,4.445222154178574,0.08866500000000002,0.005898921511598542,1607.4069406896435,37.4637565579539,0.011781019771541317,0.0001076370948928277,0.011231272837289393,0.00013976711221779217,0.5662706520662099,141.65,388.71901301234925,0.0015928167924645908
0.3,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.18255345175757468,0.012047436265260532,0.5767158943647637,0.05098194220179023,142.4,5.171073389539158,0.08880000000000002,0.00598230724720822,1603.626534640547,37.42064690983546,0.013509487561346612,0.00014243550605791812,0.011964856444381609,0.00016557474996387674,0.5712658205366524,141.25,392.4994190614457,0.001557161768516807
0.3,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18078012434705193,0.012007471140727938,0.005553426189875601,0.0051041826030641954,1.4,1.2,0.001135,0.0009280490288772464,1996.3093200349297,3.6422089741472257,,,,,0.00010335236176440242,0.25,-0.18336633293688465,-0.0002161656420059388
0.3,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.1738680737527243,0.011507878093420115,0.011941667772996472,0.008327804989923089,6.45,2.8368115905008566,0.00153,0.0007969316156358711,1993.3574093352538,5.173445422005462,,,,,0.006491593944885274,5.300000000000001,2.768544366738979,-0.007128216236333557
0.4,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18086156156338545,0.01194685910581604,0.0,0.0,0.1,0.30000000000000004,5.5e-05,0.00016575584454250775,2000.0,0.0,,,,,0.0,0.0,0.0,0.0
