penalty,click_model,strategy_name,lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,unique_shown_new_mean,unique_shown_new_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std
0.8,pbm,Baseline,0.0,0.65,2,50,0.17950682372002655,0.012734691295049214,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,pbm,EDE-Safer,0.4,0.65,2,50,0.17686392352309355,0.012586372278718902,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,pbm,Random-Injection,0.4,0.65,2,50,0.17962972521881296,0.012293236087621935,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17308453954484865,0.012154569688086462,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.1,cascade,Baseline,0.0,0.65,2,50,0.18490274266771276,0.012796482397114015,0.09942134421792723,0.025154132703793523,42.75,5.521548695791789,1935.4971607577777,19.119401732550187,0.047760000000000004,0.0066218124407143985
0.1,cascade,EDE-Safer,0.4,0.65,2,50,0.1828652704073907,0.012931785481534498,0.46764900569608586,0.02857910990655217,172.65,3.395217224272992,1679.1950303828355,26.8911808695284,0.24494499999999997,0.007414814562752057
0.1,cascade,Random-Injection,0.4,0.65,2,50,0.1842057453972472,0.011704393966222337,0.10813343429404706,0.022547022240631036,45.7,5.595533933415112,1927.8720873740608,16.299724533917534,0.04789,0.006564442093582667
0.1,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.176924608336649,0.011963435684889568,0.11824724295669227,0.02427948790740766,100.1,6.472248450113763,1926.4762810687503,16.385496426315786,0.051434999999999995,0.006728839052912471
0.15,cascade,Baseline,0.0,0.65,2,50,0.1829062323235305,0.012735085659841446,0.05281264124212683,0.02070496772567367,20.65,4.269367634673781,1966.9072773198761,14.317217839964687,0.021675,0.004739290558722898
0.15,cascade,EDE-Safer,0.4,0.65,2,50,0.183050854175355,0.01291201802866294,0.4615220110023476,0.02487030679357287,173.8,3.203123475609393,1683.0069871794417,25.28661978173919,0.21869000000000005,0.006287519383667932
0.15,cascade,Random-Injection,0.4,0.65,2,50,0.18210967365456138,0.011860949124799026,0.05459515464277546,0.01758180498240789,22.45,4.58775544247947,1964.4544582813057,10.769835531680645,0.022275,0.004334152166225823
0.15,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.1750900132001003,0.01198530619704813,0.05357811792945351,0.01954548448760449,60.45,7.269628601242295,1966.295426103968,13.86172428139541,0.024605,0.0037716674031520857
0.2,cascade,Baseline,0.0,0.65,2,50,0.1820183421621662,0.012849103879440618,0.020158905194217803,0.01388580391926585,8.7,3.7429934544425802,1986.2484364080224,9.277709636068126,0.0088,0.0035915177850039943
0.2,cascade,EDE-Safer,0.4,0.65,2,50,0.18296947264757069,0.012567568732913252,0.44965518780076186,0.031683512999455155,175.8,3.2186953878862163,1689.1439073802132,29.001860208639698,0.183575,0.0053934103311355786
0.2,cascade,Random-Injection,0.4,0.65,2,50,0.1813340523448043,0.01195650463499524,0.019766474372386433,0.013205333379876947,9.4,3.67967389859482,1985.734669609164,9.547212338117086,0.009240000000000002,0.0037226872014715397
0.2,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.1741315695382187,0.011966814513816895,0.025817610083918863,0.013707800242875115,31.1,5.098038838612354,1985.3018088457804,8.282394233117774,0.010334999999999999,0.0033785018869315437
0.3,cascade,Baseline,0.0,0.65,2,50,0.18102438698522738,0.012893264509057577,0.0019058439511277993,0.003304839972906729,1.15,0.9630680142129112,1999.0573450253826,2.0018291564737845,0.0010249999999999999,0.0009679230341302971
0.3,cascade,EDE-Safer,0.4,0.65,2,50,0.18290408249017456,0.012062617921278716,0.3719558020256497,0.039024103699026085,143.8,4.4788391353117385,1756.4126416744857,32.19899300339057,0.08998500000000001,0.0049698365164258665
0.3,cascade,Random-Injection,0.4,0.65,2,50,0.1802400537012119,0.012083915189169188,0.0015300435272717413,0.003064336848403497,1.15,0.9630680142129112,1999.1462050041905,1.829687267349586,0.001165,0.0009885722027247175
0.3,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.1731401216900895,0.011950473542221675,0.003918057135522055,0.0046292702740969045,5.9,2.5079872407968904,1997.9135262987652,2.582435269987728,0.001525,0.0008943573111458307
0.4,cascade,Baseline,0.0,0.65,2,50,0.1808901764040125,0.0128597214136701,0.0,0.0,0.1,0.30000000000000004,2000.0,0.0,8.999999999999999e-05,0.0002718455443813637
0.4,cascade,EDE-Safer,0.4,0.65,2,50,0.18126235153662126,0.011785159891159648,0.1920869189399998,0.03201086647445916,54.3,5.514526271584894,1884.0462907282763,21.547842512924472,0.025705,0.0035819652427124416
0.4,cascade,Random-Injection,0.4,0.65,2,50,0.1801002988904481,0.012025555964130212,0.000364963503649635,0.0015908390304892968,0.15,0.3570714214271425,1999.8507299270073,0.6506531634701355,8e-05,0.00022494443758403986
0.4,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.17298465356305437,0.011859082057414465,0.0,0.0,0.95,1.116915395184434,2000.0,0.0,0.00011,0.00013747727084867525
0.6,cascade,Baseline,0.0,0.65,2,50,0.18086154704932295,0.012821348938379133,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,cascade,EDE-Safer,0.4,0.65,2,50,0.17811492333386186,0.012165922377580803,0.008670380650540675,0.007110704255449849,1.65,1.1521718621802912,1995.8460585241214,4.2568901608862175,0.0005,0.0004347413023856831
0.6,cascade,Random-Injection,0.4,0.65,2,50,0.18007644109487347,0.012000967387970326,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.17297682313884408,0.011865547484844492,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,cascade,Baseline,0.0,0.65,2,50,0.18086154704932295,0.012821348938379133,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,cascade,EDE-Safer,0.4,0.65,2,50,0.17797441862318802,0.012037032461292944,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,cascade,Random-Injection,0.4,0.65,2,50,0.18007644109487347,0.012000967387970326,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,cascade,Epsilon-Greedy,0.4,0.65,2,50,0.17297682313884408,0.011865547484844492,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.1,noisy,Baseline,0.0,0.65,2,50,0.18542955442576375,0.01207244514583239,0.2030433666064031,0.036964687120309384,42.75,5.521548695791789,1859.9832874705764,27.970922612461536,0.04706,0.005960822090953562
0.1,noisy,EDE-Safer,0.4,0.65,2,50,0.18331468317848024,0.012574218396563693,0.7383038805692123,0.04130050592091005,171.7,3.2726136343907144,1449.672936222216,34.42728530675029,0.24334000000000003,0.008414891561987005
0.1,noisy,Random-Injection,0.4,0.65,2,50,0.18493026448456154,0.012470696489935136,0.19843502528906504,0.03014555465581034,45.55,4.576843890717707,1861.439596841686,23.257806568763733,0.04647,0.006069439842357779
0.1,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.1771110376436844,0.0131675913744273,0.2652891859917867,0.04507194453453669,98.95,6.726626197433599,1831.3104962447019,27.087156629230275,0.051425,0.006310932973816154
0.15,noisy,Baseline,0.0,0.65,2,50,0.18341870996733364,0.01204556446051883,0.09878187329855803,0.024139605794759152,20.65,4.269367634673781,1929.8231617714978,18.11414028042477,0.021325,0.004343716726491266
0.15,noisy,EDE-Safer,0.4,0.65,2,50,0.18345212810141995,0.01254956502414341,0.7424257471823017,0.040214540592435406,173.45,3.0244834269673224,1452.682960546074,35.546779751249574,0.21639,0.006900717354014722
0.15,noisy,Random-Injection,0.4,0.65,2,50,0.18294747109332626,0.01255801447522505,0.09493489293061659,0.022837967736948666,22.4,5.10294032886923,1932.258401725648,15.96257946669285,0.021605,0.00450993070900208
0.15,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.17548008904466056,0.013196225143915673,0.13954231456559466,0.02326755226745534,60.3,5.282991576748916,1915.1228480995164,14.24865507797233,0.024755000000000003,0.004172705956570628
0.2,noisy,Baseline,0.0,0.65,2,50,0.18268230232911625,0.012180218798462017,0.04331437379407548,0.018705265262945144,8.7,3.7429934544425802,1970.0497994560567,11.92914776449666,0.008595,0.003585732142812678
0.2,noisy,EDE-Safer,0.4,0.65,2,50,0.18349629638942022,0.012500981310390557,0.725356364731075,0.040365738154356075,174.55,3.2167530212933664,1465.127341899171,31.80069322208662,0.18135000000000007,0.0060746604843398425
0.2,noisy,Random-Injection,0.4,0.65,2,50,0.18214141609081252,0.012699576241918465,0.046773916306935996,0.02037224115727971,9.8,3.5860842154082215,1968.0727773866165,13.68785071854904,0.008705000000000001,0.004133216060164288
0.2,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.174410911412657,0.013217564490621728,0.0672506368093525,0.024993315359367416,30.6,5.228766584960549,1958.7293911673264,16.140827061036106,0.010615000000000001,0.003941608174336967
0.3,noisy,Baseline,0.0,0.65,2,50,0.18167437295607095,0.012273517893498318,0.0063238943440581535,0.005305401921758865,1.15,0.9630680142129112,1995.713034223143,3.691857449446433,0.0011049999999999999,0.0009473515714875865
0.3,noisy,EDE-Safer,0.4,0.65,2,50,0.18308993833865794,0.01254527023086489,0.585188608551549,0.040606323080537535,142.2,5.3065996645686395,1609.350277968139,31.644168434311705,0.08904000000000001,0.0052711858248405555
0.3,noisy,Random-Injection,0.4,0.65,2,50,0.18127777141002435,0.01299238420496044,0.0071061447466074954,0.007045473567237342,1.3,1.1,1995.1816012184377,5.13412836209884,0.0011750000000000003,0.0010275577842632504
0.3,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.173489003445153,0.01316433905131747,0.010604590272226138,0.007124598012813832,5.55,2.8718460961548757,1993.7940770942018,4.105420886820636,0.001465,0.0007951572171589717
0.4,noisy,Baseline,0.0,0.65,2,50,0.18153013175572336,0.01222809051430627,0.00040650406504065046,0.0017719101396506804,0.1,0.30000000000000004,1999.7471544715445,1.1021281068627118,0.00013,0.0004013726448077895
0.4,noisy,EDE-Safer,0.4,0.65,2,50,0.1815734242179056,0.012123077251992794,0.24731678026552767,0.034115544889742624,53.2,5.436910887627274,1864.1184970189806,20.13749563592583,0.024890000000000002,0.0032922484717894554
0.4,noisy,Random-Injection,0.4,0.65,2,50,0.18113350878265766,0.0129710407355719,0.0007941009642654567,0.002383053059043762,0.1,0.30000000000000004,1999.2218094157683,2.3370469302804393,9.5e-05,0.0002854382595238417
0.4,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.17332665090557375,0.01308441665637196,0.0007978385251112524,0.002395224592043606,1.3,1.0535653752852738,1999.2680165289257,2.196096733911126,0.00019,0.00016703293088490067
0.6,noisy,Baseline,0.0,0.65,2,50,0.18148877824339404,0.012170232109024346,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,noisy,EDE-Safer,0.4,0.65,2,50,0.1788133827459623,0.012427400881651228,0.009100408692742598,0.007695197074833808,1.75,1.1779218989389746,1996.2159654009597,4.101663266526827,0.00052,0.0004894895300208167
0.6,noisy,Random-Injection,0.4,0.65,2,50,0.18110322307238177,0.01292890587097683,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.17328908013462768,0.013055871689188892,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,noisy,Baseline,0.0,0.65,2,50,0.18148877824339404,0.012170232109024346,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,noisy,EDE-Safer,0.4,0.65,2,50,0.1786371231853245,0.012322418793842068,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,noisy,Random-Injection,0.4,0.65,2,50,0.18110322307238177,0.01292890587097683,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.8,noisy,Epsilon-Greedy,0.4,0.65,2,50,0.17328908013462768,0.013055871689188892,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
