config_name,lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std,total_impressions_new_mean,total_impressions_new_std,unique_shown_new_mean,unique_shown_new_std
Baseline,0.0,0.5,2,50,0.1796738211092463,0.012802442440209075,0.005844280986458163,0.00647830136023839,1995.9803575581113,4.7813628513888204,0.0011250000000000001,0.001055402766719891,11.25,10.554027667198907,1.15,0.9630680142129112
B,0.2,0.5,2,50,0.1828875698708078,0.012478846023573383,0.4110962780326674,0.03726172495708153,1712.382574622136,31.28662797190257,0.06159,0.004977338646304869,615.9,49.77338646304871,97.7,7.321885003194191
C,0.3,0.65,1,50,0.18174522490846726,0.012472175838928639,0.5661218334506901,0.0426154166936099,1611.6566564213101,34.51714107951658,0.08781000000000003,0.005127952807895176,878.1,51.279528078951735,140.65,4.339066719929529
