lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std,total_impressions_new_mean,total_impressions_new_std,unique_shown_new_mean,unique_shown_new_std
0.05,0.65,1,50,0.1812679843499216,0.012323094853666599,0.519132025449711,0.04600882737852639,1642.1377158301675,34.752991913743934,0.08493500000000001,0.005062042571926875,849.35,50.6204257192687,136.3,4.73392015141785
0.1,0.65,1,50,0.18123991534219427,0.012379106144188193,0.5185752379240103,0.04382479311855546,1642.3355514752675,34.93930338363385,0.08508,0.005114938904815972,850.8,51.149389048159705,136.65,4.596466033813369
0.2,0.65,1,50,0.1816192750889164,0.012491965109411415,0.5513017044539514,0.04014933870592565,1619.6700977752196,36.13870617887721,0.08643,0.005172049883750157,864.3,51.72049883750156,138.6,4.340506882842142
0.3,0.65,1,50,0.18174522490846726,0.012472175838928639,0.5661218334506901,0.0426154166936099,1611.6566564213101,34.51714107951658,0.08781000000000003,0.005127952807895176,878.1,51.279528078951735,140.65,4.339066719929529
0.4,0.65,1,50,0.181863474653607,0.012483947740893337,0.5825755952530078,0.04159899478994881,1601.2035506187374,34.35388223261678,0.08927,0.005117430996115141,892.7,51.17430996115141,142.5,3.968626966596886
