criterion,accepted,pages,total_pages,acceptance_rate,sessions,ctr,ctr_ci_low,ctr_ci_high,click_ndcg,click_ndcg_ci_low,click_ndcg_ci_high,delta_ctr,delta_ctr_ci_low,delta_ctr_ci_high,delta_click_ndcg,delta_click_ndcg_ci_low,delta_click_ndcg_ci_high,positions_changed,positions_changed_ci_low,positions_changed_ci_high,mean_abs_shift,mean_abs_shift_ci_low,mean_abs_shift_ci_high,kendall,kendall_ci_low,kendall_ci_high,rbo,rbo_ci_low,rbo_ci_high,clicks,clicks_ci_low,clicks_ci_high,clicked_moved_fraction,mean_abs_shift_clicked
all,True,372282,372282,1.0,200000,0.09271493115434003,0.09229459732289783,0.09316117054006749,0.4979980412660227,0.49625585203316436,0.49972756250838396,0.0,0.0,0.0,-1.773604262808603e-05,-2.2840171838692084e-05,-1.2513827166433196e-05,0.14918798115407136,0.14688495116310515,0.1515523881987725,0.014918798115407137,0.014688495116306441,0.0151552388198728,0.0016576442350452372,0.0016320550129237119,0.0016839154244311552,0.9991176000316341,0.9991022239549644,0.9991333074560296,0.9271493115433999,0.9229459732301348,0.9316117054018359,0.003421591663021025,0.003421591663021025
exact_match,True,348498,372282,0.9361129466372267,188984,0.09321947328248656,0.09275103035253285,0.09365025522554425,0.49107418639626227,0.4893510029588134,0.49277645509165463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9321947328248655,0.9275103035263044,0.9365025522564401,0.0,0.0
exact_match,False,23784,372282,0.06388705336277338,19676,0.08532206525395225,0.08420283573772892,0.08641428567794927,0.5994506806202833,0.5932714252871297,0.6054356730735238,0.0,0.0,0.0,-0.00027761559963290967,-0.0003604789326838107,-0.00019544394071191858,2.3351833165153044,2.3237475608468388,2.3477216130006013,0.23351833165153052,0.23237475608461813,0.23477216129999298,0.025946481294614486,0.02581941734274779,0.026085795700012036,0.9861881254194719,0.9860643135392603,0.986306653366309,0.8532206525395224,0.8420283573774385,0.8641428567796524,0.05819740797319273,0.05819740797319273
set_match,True,372282,372282,1.0,200000,0.09271493115434003,0.09230808970081301,0.09315094681762104,0.4979980412660227,0.49624996097016283,0.4997475535411103,0.0,0.0,0.0,-1.773604262808603e-05,-2.2746643517985985e-05,-1.2508177458347775e-05,0.14918798115407136,0.14687926240446764,0.15160447848360523,0.014918798115407137,0.014687926240442689,0.015160447848356136,0.0016576442350452372,0.0016319918044944005,0.0016844942053737442,0.9991176000316341,0.9991017783882397,0.9991323359362959,0.9271493115433999,0.923080897009287,0.9315094681773719,0.003421591663021025,0.003421591663021025
set_match,False,0,372282,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
click_preserved,True,372282,372282,1.0,200000,0.09271493115434003,0.09228894180366935,0.0931532775773678,0.4979980412660227,0.4962932812372315,0.49959845757895505,0.0,0.0,0.0,-1.773604262808603e-05,-2.269824768806092e-05,-1.2529380758062988e-05,0.14918798115407136,0.14683415890360227,0.15168299963784634,0.014918798115407137,0.014683415890356093,0.015168299963780274,0.0016576442350452372,0.0016314906544847906,0.001685366662643079,0.9991176000316341,0.9991016147675122,0.9991331934319085,0.9271493115433999,0.922889418037839,0.9315327757748344,0.003421591663021025,0.003421591663021025
click_preserved,False,0,372282,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
